Starting client with ID: 1
Starting a file (upload.txt) upload...
CLIENT1:Got ACK from server with UID=8098
CLIENT1:Got ACK from server with UID=8099
CLIENT1:Got ACK from server with UID=8100
CLIENT1:Got ACK from server with UID=8101
CLIENT1:Got ACK from server with UID=8102
CLIENT1:Got ACK from server with UID=8103
CLIENT1:Got ACK from server with UID=8104
CLIENT1:Got ACK from server with UID=8105
CLIENT1:Got ACK from server with UID=8106
CLIENT1:Got ACK from server with UID=8107
CLIENT1:Got ACK from server with UID=8108
CLIENT1:Got ACK from server with UID=8109
CLIENT1:Got ACK from server with UID=8110
CLIENT1:Got ACK from server with UID=8111
CLIENT1:Got ACK from server with UID=8112
CLIENT1:Got ACK from server with UID=8113
CLIENT1:Got ACK from server with UID=8114
CLIENT1:Got ACK from server with UID=8115
CLIENT1:Got ACK from server with UID=8116
CLIENT1:Got ACK from server with UID=8117
CLIENT1:Got ACK from server with UID=8118
CLIENT1:Got ACK from server with UID=8119
CLIENT1:Got ACK from server with UID=8120
CLIENT1:Got ACK from server with UID=8121
CLIENT1:Got ACK from server with UID=8122
CLIENT1:Got ACK from server with UID=8123
CLIENT1:Got ACK from server with UID=8124
CLIENT1:Got ACK from server with UID=8125
CLIENT1:Got ACK from server with UID=8126
CLIENT1:Got ACK from server with UID=8127
CLIENT1:Got ACK from server with UID=8128
CLIENT1:Got ACK from server with UID=8129
CLIENT1:Got ACK from server with UID=8130
CLIENT1:Got ACK from server with UID=8131
CLIENT1:Got ACK from server with UID=8132
CLIENT1:Got ACK from server with UID=8133
CLIENT1:Got ACK from server with UID=8134
CLIENT1:Got ACK from server with UID=8135
CLIENT1:Got ACK from server with UID=8136
CLIENT1:Got ACK from server with UID=8137
CLIENT1:Got ACK from server with UID=8138
CLIENT1:Got ACK from server with UID=8139
CLIENT1:Got ACK from server with UID=8140
CLIENT1:Got ACK from server with UID=8141
CLIENT1:Got ACK from server with UID=8142
CLIENT1:Got ACK from server with UID=8143
CLIENT1:Got ACK from server with UID=8144
CLIENT1:Got ACK from server with UID=8145
CLIENT1:Got ACK from server with UID=8146
CLIENT1:Got ACK from server with UID=8147
CLIENT1:Got ACK from server with UID=8148
CLIENT1:Got ACK from server with UID=8149
CLIENT1:Got ACK from server with UID=8150
CLIENT1:Got ACK from server with UID=8151
CLIENT1:Got ACK from server with UID=8152
CLIENT1:Got ACK from server with UID=8153
CLIENT1:Got ACK from server with UID=8154
CLIENT1:Got ACK from server with UID=8155
CLIENT1:Got ACK from server with UID=8156
CLIENT1:Got ACK from server with UID=8157
CLIENT1:Got ACK from server with UID=8158
CLIENT1:Got ACK from server with UID=8159
CLIENT1:Got ACK from server with UID=8160
CLIENT1:Got ACK from server with UID=8161
CLIENT1:Got ACK from server with UID=8162
CLIENT1:Got ACK from server with UID=8163
CLIENT1:Got ACK from server with UID=8164
CLIENT1:Got ACK from server with UID=8165
CLIENT1:Got ACK from server with UID=8166
CLIENT1:Got ACK from server with UID=8167
CLIENT1:Got ACK from server with UID=8168
CLIENT1:Got ACK from server with UID=8169
CLIENT1:Got ACK from server with UID=8170
CLIENT1:Got ACK from server with UID=8171
CLIENT1:Got ACK from server with UID=8172
CLIENT1:Got ACK from server with UID=8173
CLIENT1:Got ACK from server with UID=8174
CLIENT1:Got ACK from server with UID=8175
CLIENT1:Got ACK from server with UID=8176
CLIENT1:Got ACK from server with UID=8177
CLIENT1:Got ACK from server with UID=8178
CLIENT1:Got ACK from server with UID=8179
CLIENT1:Got ACK from server with UID=8180
CLIENT1:Got ACK from server with UID=8181
CLIENT1:Got ACK from server with UID=8182
CLIENT1:Got ACK from server with UID=8183
CLIENT1:Got ACK from server with UID=8184
CLIENT1:Got ACK from server with UID=8185
CLIENT1:Got ACK from server with UID=8186
CLIENT1:Got ACK from server with UID=8187
CLIENT1:Got ACK from server with UID=8188
CLIENT1:Got ACK from server with UID=8189
CLIENT1:Got ACK from server with UID=8190
CLIENT1:Got ACK from server with UID=8191
CLIENT1:Got ACK from server with UID=8192
CLIENT1:Got ACK from server with UID=8193
CLIENT1:Got ACK from server with UID=8194
CLIENT1:Got ACK from server with UID=8195
CLIENT1:Got ACK from server with UID=8196
CLIENT1:Got ACK from server with UID=8197
CLIENT1:Got ACK from server with UID=8198
CLIENT1:Got ACK from server with UID=8199
CLIENT1:Got ACK from server with UID=8200
CLIENT1:Got ACK from server with UID=8201
CLIENT1:Got ACK from server with UID=8202
CLIENT1:Got ACK from server with UID=8203
CLIENT1:Got ACK from server with UID=8204
CLIENT1:Got ACK from server with UID=8205
CLIENT1:Got ACK from server with UID=8206
CLIENT1:Got ACK from server with UID=8207
CLIENT1:Got ACK from server with UID=8208
CLIENT1:Got ACK from server with UID=8209
CLIENT1:Got ACK from server with UID=8210
CLIENT1:Got ACK from server with UID=8211
CLIENT1:Got ACK from server with UID=8212
CLIENT1:Got ACK from server with UID=8213
CLIENT1:Got ACK from server with UID=8214
CLIENT1:Got ACK from server with UID=8215
CLIENT1:Got ACK from server with UID=8216
CLIENT1:Got ACK from server with UID=8217
CLIENT1:Got ACK from server with UID=8218
CLIENT1:Got ACK from server with UID=8219
CLIENT1:Got ACK from server with UID=8220
CLIENT1:Got ACK from server with UID=8221
CLIENT1:Got ACK from server with UID=8222
CLIENT1:Got ACK from server with UID=8223
CLIENT1:Got ACK from server with UID=8224
CLIENT1:Got ACK from server with UID=8225
CLIENT1:Got ACK from server with UID=8226
CLIENT1:Got ACK from server with UID=8227
CLIENT1:Got ACK from server with UID=8228
CLIENT1:Got ACK from server with UID=8229
CLIENT1:Got ACK from server with UID=8230
CLIENT1:Got ACK from server with UID=8231
CLIENT1:Got ACK from server with UID=8232
CLIENT1:Got ACK from server with UID=8233
CLIENT1:Got ACK from server with UID=8234
CLIENT1:Got ACK from server with UID=8235
CLIENT1:Got ACK from server with UID=8236
CLIENT1:Got ACK from server with UID=8237
CLIENT1:Got ACK from server with UID=8238
CLIENT1:Got ACK from server with UID=8239
CLIENT1:Got ACK from server with UID=8240
CLIENT1:Got ACK from server with UID=8241
CLIENT1:Got ACK from server with UID=8242
CLIENT1:Got ACK from server with UID=8243
CLIENT1:Got ACK from server with UID=8244
CLIENT1:Got ACK from server with UID=8245
CLIENT1:Got ACK from server with UID=8246
CLIENT1:Got ACK from server with UID=8247
CLIENT1:Got ACK from server with UID=8248
CLIENT1:Got ACK from server with UID=8249
CLIENT1:Got ACK from server with UID=8250
CLIENT1:Got ACK from server with UID=8251
CLIENT1:Got ACK from server with UID=8252
CLIENT1:Got ACK from server with UID=8253
CLIENT1:Got ACK from server with UID=8254
CLIENT1:Got ACK from server with UID=8255
CLIENT1:Got ACK from server with UID=8256
CLIENT1:Got ACK from server with UID=8257
CLIENT1:Got ACK from server with UID=8258
CLIENT1:Got ACK from server with UID=8259
CLIENT1:Got ACK from server with UID=8260
CLIENT1:Got ACK from server with UID=8261
CLIENT1:Got ACK from server with UID=8262
CLIENT1:Got ACK from server with UID=8263
CLIENT1:Got ACK from server with UID=8264
CLIENT1:Got ACK from server with UID=8265
CLIENT1:Got ACK from server with UID=8266
CLIENT1:Got ACK from server with UID=8267
CLIENT1:Got ACK from server with UID=8268
CLIENT1:Got ACK from server with UID=8269
CLIENT1:Got ACK from server with UID=8270
CLIENT1:Got ACK from server with UID=8271
CLIENT1:Got ACK from server with UID=8272
CLIENT1:Got ACK from server with UID=8273
CLIENT1:Got ACK from server with UID=8274
CLIENT1:Got ACK from server with UID=8275
CLIENT1:Got ACK from server with UID=8276
CLIENT1:Got ACK from server with UID=8277
CLIENT1:Got ACK from server with UID=8278
CLIENT1:Got ACK from server with UID=8279
CLIENT1:Got ACK from server with UID=8280
CLIENT1:Got ACK from server with UID=8281
CLIENT1:Got ACK from server with UID=8282
CLIENT1:Got ACK from server with UID=8283
CLIENT1:Got ACK from server with UID=8284
CLIENT1:Got ACK from server with UID=8285
CLIENT1:Got ACK from server with UID=8286
CLIENT1:Got ACK from server with UID=8287
CLIENT1:Got ACK from server with UID=8288
CLIENT1:Got ACK from server with UID=8289
CLIENT1:Got ACK from server with UID=8290
CLIENT1:Got ACK from server with UID=8291
CLIENT1:Got ACK from server with UID=8292
CLIENT1:Got ACK from server with UID=8293
CLIENT1:Got ACK from server with UID=8294
CLIENT1:Got ACK from server with UID=8295
CLIENT1:Got ACK from server with UID=8296
CLIENT1:Got ACK from server with UID=8297
CLIENT1:Got ACK from server with UID=8298
CLIENT1:Got ACK from server with UID=8299
CLIENT1:Got ACK from server with UID=8300
CLIENT1:Got ACK from server with UID=8301
CLIENT1:Got ACK from server with UID=8302
CLIENT1:Got ACK from server with UID=8303
CLIENT1:Got ACK from server with UID=8304
CLIENT1:Got ACK from server with UID=8305
CLIENT1:Got ACK from server with UID=8306
CLIENT1:Got ACK from server with UID=8307
CLIENT1:Got ACK from server with UID=8308
CLIENT1:Got ACK from server with UID=8309
CLIENT1:Got ACK from server with UID=8310
CLIENT1:Got ACK from server with UID=8311
CLIENT1:Got ACK from server with UID=8312
CLIENT1:Got ACK from server with UID=8313
CLIENT1:Got ACK from server with UID=8314
CLIENT1:Got ACK from server with UID=8315
CLIENT1:Got ACK from server with UID=8316
CLIENT1:Got ACK from server with UID=8317
CLIENT1:Got ACK from server with UID=8318
CLIENT1:Got ACK from server with UID=8319
CLIENT1:Got ACK from server with UID=8320
CLIENT1:Got ACK from server with UID=8321
CLIENT1:Got ACK from server with UID=8322
CLIENT1:Got ACK from server with UID=8323
CLIENT1:Got ACK from server with UID=8324
CLIENT1:Got ACK from server with UID=8325
CLIENT1:Got ACK from server with UID=8326
CLIENT1:Got ACK from server with UID=8327
CLIENT1:Got ACK from server with UID=8328
CLIENT1:Got ACK from server with UID=8329
CLIENT1:Got ACK from server with UID=8330
CLIENT1:Got ACK from server with UID=8331
CLIENT1:Got ACK from server with UID=8332
CLIENT1:Got ACK from server with UID=8333
CLIENT1:Got ACK from server with UID=8334
CLIENT1:Got ACK from server with UID=8335
CLIENT1:Got ACK from server with UID=8336
CLIENT1:Got ACK from server with UID=8337
CLIENT1:Got ACK from server with UID=8338
CLIENT1:Got ACK from server with UID=8339
CLIENT1:Got ACK from server with UID=8340
CLIENT1:Got ACK from server with UID=8341
CLIENT1:Got ACK from server with UID=8342
CLIENT1:Got ACK from server with UID=8343
CLIENT1:Got ACK from server with UID=8344
CLIENT1:Got ACK from server with UID=8345
CLIENT1:Got ACK from server with UID=8346
CLIENT1:Got ACK from server with UID=8347
CLIENT1:Got ACK from server with UID=8348
CLIENT1:Got ACK from server with UID=8349
CLIENT1:Got ACK from server with UID=8350
CLIENT1:Got ACK from server with UID=8351
CLIENT1:Got ACK from server with UID=8352
CLIENT1:Got ACK from server with UID=8353
CLIENT1:Got ACK from server with UID=8354
CLIENT1:Got ACK from server with UID=8355
CLIENT1:Got ACK from server with UID=8356
CLIENT1:Got ACK from server with UID=8357
CLIENT1:Got ACK from server with UID=8358
CLIENT1:Got ACK from server with UID=8359
CLIENT1:Got ACK from server with UID=8360
CLIENT1:Got ACK from server with UID=8361
CLIENT1:Got ACK from server with UID=8362
CLIENT1:Got ACK from server with UID=8363
CLIENT1:Got ACK from server with UID=8364
CLIENT1:Got ACK from server with UID=8365
CLIENT1:Got ACK from server with UID=8366
CLIENT1:Got ACK from server with UID=8367
CLIENT1:Got ACK from server with UID=8368
CLIENT1:Got ACK from server with UID=8369
CLIENT1:Got ACK from server with UID=8370
CLIENT1:Got ACK from server with UID=8371
CLIENT1:Got ACK from server with UID=8372
CLIENT1:Got ACK from server with UID=8373
CLIENT1:Got ACK from server with UID=8374
CLIENT1:Got ACK from server with UID=8375
CLIENT1:Got ACK from server with UID=8376
CLIENT1:Got ACK from server with UID=8377
CLIENT1:Got ACK from server with UID=8378
CLIENT1:Got ACK from server with UID=8379
CLIENT1:Got ACK from server with UID=8380
CLIENT1:Got ACK from server with UID=8381
CLIENT1:Got ACK from server with UID=8382
CLIENT1:Got ACK from server with UID=8383
CLIENT1:Got ACK from server with UID=8384
CLIENT1:Got ACK from server with UID=8385
CLIENT1:Got ACK from server with UID=8386
CLIENT1:Got ACK from server with UID=8387
CLIENT1:Got ACK from server with UID=8388
CLIENT1:Got ACK from server with UID=8389
CLIENT1:Got ACK from server with UID=8390
CLIENT1:Got ACK from server with UID=8391
CLIENT1:Got ACK from server with UID=8392
CLIENT1:Got ACK from server with UID=8393
CLIENT1:Got ACK from server with UID=8394
CLIENT1:Got ACK from server with UID=8395
CLIENT1:Got ACK from server with UID=8396
CLIENT1:Got ACK from server with UID=8397
CLIENT1:Got ACK from server with UID=8398
CLIENT1:Got ACK from server with UID=8399
CLIENT1:Got ACK from server with UID=8400
CLIENT1:Got ACK from server with UID=8401
CLIENT1:Got ACK from server with UID=8402
CLIENT1:Got ACK from server with UID=8403
CLIENT1:Got ACK from server with UID=8404
CLIENT1:Got ACK from server with UID=8405
CLIENT1:Got ACK from server with UID=8406
CLIENT1:Got ACK from server with UID=8407
CLIENT1:Got ACK from server with UID=8408
CLIENT1:Got ACK from server with UID=8409
CLIENT1:Got ACK from server with UID=8410
CLIENT1:Got ACK from server with UID=8411
CLIENT1:Got ACK from server with UID=8412
CLIENT1:Got ACK from server with UID=8413
CLIENT1:Got ACK from server with UID=8414
CLIENT1:Got ACK from server with UID=8415
CLIENT1:Got ACK from server with UID=8416
CLIENT1:Got ACK from server with UID=8417
CLIENT1:Got ACK from server with UID=8418
CLIENT1:Got ACK from server with UID=8419
CLIENT1:Got ACK from server with UID=8420
CLIENT1:Got ACK from server with UID=8421
CLIENT1:Got ACK from server with UID=8422
CLIENT1:Got ACK from server with UID=8423
CLIENT1:Got ACK from server with UID=8424
CLIENT1:Got ACK from server with UID=8425
CLIENT1:Got ACK from server with UID=8426
CLIENT1:Got ACK from server with UID=8427
CLIENT1:Got ACK from server with UID=8428
CLIENT1:Got ACK from server with UID=8429
CLIENT1:Got ACK from server with UID=8430
CLIENT1:Got ACK from server with UID=8431
CLIENT1:Got ACK from server with UID=8432
CLIENT1:Got ACK from server with UID=8433
CLIENT1:Got ACK from server with UID=8434
CLIENT1:Got ACK from server with UID=8435
CLIENT1:Got ACK from server with UID=8436
CLIENT1:Got ACK from server with UID=8437
CLIENT1:Got ACK from server with UID=8438
CLIENT1:Got ACK from server with UID=8439
CLIENT1:Got ACK from server with UID=8440
CLIENT1:Got ACK from server with UID=8441
CLIENT1:Got ACK from server with UID=8442
CLIENT1:Got ACK from server with UID=8443
